"","Title","Genre","Revenue (Millions)","Rating"
"461","Predestination","Other",NA,7.5
"462","Goosebumps","Adventure",80.02,6.3
"463","Sherlock Holmes: A Game of Shadows","Action",186.83,7.5
"464","Salt","Action",118.31,6.4
"465","Enemy","Other",1.01,6.9
"466","District 9","Action",115.65,8
"467","The Other Guys","Action",119.22,6.7
"468","American Gangster","Other",130.13,7.8
"469","Marie Antoinette","Other",15.96,6.4
"470","2012","Action",166.11,5.8
"471","Harry Potter and the Half-Blood Prince","Adventure",301.96,7.5
"472","Argo","Other",136.02,7.7
"473","Eddie the Eagle","Other",15.79,7.4
"474","The Lives of Others","Other",11.28,8.5
"475","Pet","Horror",NA,5.7
"476","Paint It Black","Other",NA,8.3
"477","Macbeth","Other",NA,6.7
"478","Forgetting Sarah Marshall","Comedy",62.88,7.2
"479","The Giver","Other",45.09,6.5
"480","Triple 9","Action",12.63,6.3
"481","Perfetti sconosciuti","Comedy",NA,7.7
"482","Angry Birds","Animation",107.51,6.3
"483","Moonrise Kingdom","Adventure",45.51,7.8
"484","Hairspray","Comedy",118.82,6.7
"485","Safe Haven","Other",71.35,6.7
"486","Focus","Comedy",53.85,6.6
"487","Ratatouille","Animation",206.44,8
"488","Stake Land","Other",0.02,6.5
"489","The Book of Eli","Action",94.82,6.9
"490","Cloverfield","Action",80.03,7
"491","Point Break","Action",28.77,5.3
"492","Under the Skin","Other",2.61,6.3
"493","I Am Legend","Other",256.39,7.2
"494","Men in Black 3","Action",179.02,6.8
"495","Super 8","Other",126.98,7.1
"496","Law Abiding Citizen","Crime",73.34,7.4
"497","Up","Animation",292.98,8.3
"498","Maze Runner: The Scorch Trials","Action",81.69,6.3
"499","Carol","Other",0.25,7.2
"500","Imperium","Crime",NA,6.5
"501","Youth","Comedy",2.7,7.3
"502","Mr. Nobody","Other",NA,7.9
"503","City of Tiny Lights","Crime",NA,5.7
"504","Savages","Crime",47.31,6.5
"505","(500) Days of Summer","Comedy",32.39,7.7
"506","Movie 43","Comedy",8.83,4.3
"507","Gravity","Other",274.08,7.8
"508","The Boy in the Striped Pyjamas","Other",9.03,7.8
"509","Shooter","Action",46.98,7.2
"510","The Happening","Sci-Fi",64.51,5
"511","Bone Tomahawk","Adventure",66.01,7.1
"512","Magic Mike XXL","Comedy",NA,5.7
"513","Easy A","Comedy",58.4,7.1
"514","Exodus: Gods and Kings","Action",65.01,6
"515","Chappie","Action",31.57,6.9
"516","The Hobbit: The Desolation of Smaug","Adventure",258.36,7.9
"517","Half of a Yellow Sun","Other",0.05,6.2
"518","Anthropoid","Other",2.96,7.2
"519","The Counselor","Crime",16.97,5.3
"520","Viking","Action",23.05,4.7
"521","Whiskey Tango Foxtrot","Other",NA,6.6
"522","Trust","Crime",0.06,7
"523","Birth of the Dragon","Action",93.05,3.9
"524","Elysium","Action",NA,6.6
"525","The Green Inferno","Adventure",7.19,5.4
"526","Godzilla","Action",200.66,6.4
"527","The Bourne Legacy","Action",113.17,6.7
"528","A Good Year","Comedy",7.46,6.9
"529","Friend Request","Horror",64.03,5.4
"530","Deja Vu","Action",NA,7
"531","Lucy","Action",126.55,6.4
"532","A Quiet Passion","Other",1.08,7.2
"533","Need for Speed","Action",43.57,6.5
"534","Jack Reacher","Action",58.68,7
"535","The Do-Over","Action",0.54,5.7
"536","True Crimes","Crime",NA,7.3
"537","American Pastoral","Crime",NA,6.1
"538","The Ghost Writer","Other",15.52,7.2
"539","Limitless","Other",79.24,7.4
"540","Spectral","Action",NA,6.3
"541","P.S. I Love You","Other",53.68,7.1
"542","Zipper","Other",NA,5.7
"543","Midnight Special","Other",3.71,6.7
"544","Don't Think Twice","Comedy",4.42,6.8
"545","Alice in Wonderland","Adventure",334.19,6.5
"546","Chuck","Other",0.11,6.8
"547","I, Daniel Blake","Other",NA,7.9
"548","The Break-Up","Comedy",118.68,5.8
"549","Loving","Other",7.7,7.1
"550","Fantastic Four","Action",56.11,4.3
"551","The Survivalist","Other",NA,6.3
"552","Colonia","Other",NA,7.1
"553","The Boy Next Door","Other",35.39,4.6
"554","The Gift","Other",43.77,7.1
"555","Dracula Untold","Action",55.94,6.3
"556","In the Heart of the Sea","Action",24.99,6.9
"557","Idiocracy","Adventure",0.44,6.6
"558","The Expendables","Action",102.98,6.5
"559","Evil Dead","Fantasy",54.24,6.5
"560","Sinister","Horror",48.06,6.8
"561","Wreck-It Ralph","Animation",189.41,7.8
"562","Snow White and the Huntsman","Action",155.11,6.1
"563","Pan","Adventure",34.96,5.8
"564","Transformers: Dark of the Moon","Action",352.36,6.3
"565","Juno","Comedy",143.49,7.5
"566","A Hologram for the King","Comedy",4.2,6.1
"567","Money Monster","Crime",41.01,6.5
"568","The Other Woman","Comedy",83.91,6
"569","Enchanted","Animation",127.71,7.1
"570","The Intern","Comedy",75.27,7.1
"571","Little Miss Sunshine","Comedy",59.89,7.8
"572","Bleed for This","Other",4.85,6.8
"573","Clash of the Titans","Action",163.19,5.8
"574","The Finest Hours","Action",27.55,6.8
"575","Tron","Action",172.05,6.8
"576","The Hunger Games: Catching Fire","Action",424.65,7.6
"577","All Good Things","Crime",0.58,6.3
"578","Kickboxer: Vengeance","Action",131.56,4.9
"579","The Last Airbender","Action",NA,4.2
"580","Sex Tape","Comedy",38.54,5.1
"581","What to Expect When You're Expecting","Comedy",41.1,5.7
"582","Moneyball","Other",75.61,7.6
"583","Ghost Rider","Action",115.8,5.2
"584","Unbroken","Other",115.6,7.2
"585","Immortals","Action",83.5,6
"586","Sunshine","Adventure",3.68,7.3
"587","Brave","Animation",237.28,7.2
"588","Män som hatar kvinnor","Other",10.1,7.8
"589","Adoration","Other",0.32,6.2
"590","The Drop","Crime",10.72,7.1
"591","She's the Man","Comedy",2.34,6.4
"592","Daddy's Home","Comedy",150.32,6.1
"593","Let Me In","Other",12.13,7.2
"594","Never Back Down","Action",24.85,6.6
"595","Grimsby","Action",6.86,6.2
"596","Moon","Other",5.01,7.9
"597","Megamind","Animation",148.34,7.3
"598","Gangster Squad","Action",46,6.7
"599","Blood Father","Action",93.95,6.4
"600","He's Just Not That Into You","Comedy",NA,6.4
"601","Kung Fu Panda 3","Animation",143.52,7.2
"602","The Rise of the Krays","Crime",6.53,5.1
"603","Handsome Devil","Other",NA,7.4
"604","Winter's Bone","Other",NA,7.2
"605","Horrible Bosses","Comedy",117.53,6.9
"606","Mommy","Other",3.49,8.1
"607","Hellboy II: The Golden Army","Action",75.75,7
"608","Beautiful Creatures","Other",19.45,6.2
"609","Toni Erdmann","Comedy",1.48,7.6
"610","The Lovely Bones","Other",43.98,6.7
"611","The Assassination of Jesse James by the Coward Robert Ford","Other",3.9,7.5
"612","Don Jon","Comedy",24.48,6.6
"613","Bastille Day","Action",0.04,6.3
"614","2307: Winter's Dream","Sci-Fi",20.76,4
"615","Free State of Jones","Action",NA,6.9
"616","Mr. Right","Action",0.03,6.3
"617","The Secret Life of Walter Mitty","Adventure",58.23,7.3
